epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,703.439,1.4031,2.46626,1.50413,0.60331,0.43557,0.46787,0.25861,1.66046,2.15927,1.99481,0.0700588,0.0033268,0.0033268
2,1392.59,1.3415,2.13046,1.46788,0.59184,0.49418,0.5485,0.35783,1.41354,1.74447,1.74783,0.0400543,0.00665561,0.00665561
3,2098.81,1.25133,1.9087,1.39885,0.6538,0.70714,0.72356,0.46061,1.23235,1.35993,1.62717,0.0100317,0.00996637,0.00996637
4,2647.01,1.16896,1.71533,1.3483,0.80165,0.61113,0.7349,0.51245,1.09383,1.25688,1.49268,0.00993906,0.00993906,0.00993906
5,3189.38,1.08018,1.54005,1.29046,0.818,0.68509,0.7799,0.51631,1.09539,1.08567,1.49391,0.00989183,0.00989183,0.00989183
6,3804.85,1.0417,1.42885,1.26586,0.77701,0.8475,0.81819,0.55848,1.05969,1.0026,1.42066,0.00983133,0.00983133,0.00983133
7,4505.01,1.01096,1.38949,1.25656,0.71326,0.79309,0.83825,0.5876,0.94858,0.9146,1.34145,0.00975773,0.00975773,0.00975773
8,5294.32,0.99601,1.35219,1.2353,0.88861,0.82984,0.86209,0.60779,0.96256,0.80787,1.34041,0.00967122,0.00967122,0.00967122
9,6010.29,0.95975,1.27354,1.22411,0.77253,0.80316,0.86327,0.62944,0.93158,0.81857,1.32802,0.00957205,0.00957205,0.00957205
10,6721.55,0.95675,1.25034,1.21672,0.77512,0.80327,0.83684,0.58585,0.94654,0.77307,1.33358,0.00946048,0.00946048,0.00946048
11,7440.12,0.93785,1.22291,1.20598,0.91034,0.85704,0.88655,0.65695,0.9093,0.66883,1.28201,0.00933683,0.00933683,0.00933683
12,8178.29,0.93343,1.19706,1.20417,0.7551,0.92173,0.8651,0.63425,0.89293,0.73865,1.29768,0.00920142,0.00920142,0.00920142
13,8908.24,0.91189,1.1474,1.18933,0.82284,0.89249,0.90051,0.65397,0.8926,0.76941,1.28187,0.00905463,0.00905463,0.00905463
14,9609.84,0.89885,1.13792,1.1793,0.78555,0.77647,0.82742,0.60182,0.97622,0.77535,1.32559,0.00889687,0.00889687,0.00889687
15,539.343,0.87322,1.09695,1.17031,0.92718,0.87359,0.9129,0.6843,0.81994,0.59721,1.21271,0.00872857,0.00872857,0.00872857
16,1298.13,0.8661,1.07838,1.16566,0.84438,0.91505,0.9158,0.66661,0.83374,0.65576,1.23618,0.00855018,0.00855018,0.00855018
17,2051.32,0.87431,1.07521,1.17057,0.76593,0.97281,0.93756,0.70426,0.82587,0.58916,1.22505,0.0083622,0.0083622,0.0083622
18,2870.6,0.87081,1.05123,1.16523,0.91934,0.86024,0.91537,0.6992,0.80233,0.5716,1.19501,0.00816514,0.00816514,0.00816514
19,3692.95,0.83146,1.01396,1.1485,0.84969,0.89861,0.89713,0.67001,0.83136,0.59479,1.23243,0.00795954,0.00795954,0.00795954
20,4485.11,0.82113,0.98224,1.14284,0.88365,0.92113,0.94485,0.72155,0.78765,0.53306,1.19297,0.00774596,0.00774596,0.00774596
21,5321.72,0.82268,0.97724,1.14266,0.879,0.93817,0.93494,0.70175,0.79514,0.57191,1.19371,0.007525,0.007525,0.007525
22,6194.92,0.81969,0.97141,1.13608,0.94281,0.826,0.89495,0.6959,0.73919,0.52641,1.16023,0.00729725,0.00729725,0.00729725
23,7018.39,0.80557,0.95037,1.13427,0.85208,0.90317,0.95088,0.70234,0.8013,0.56036,1.18475,0.00706335,0.00706335,0.00706335
24,7841.82,0.80621,0.93783,1.1324,0.91,0.92519,0.95602,0.73156,0.7715,0.49755,1.1949,0.00682392,0.00682392,0.00682392
25,8641.63,0.77884,0.91157,1.11804,0.91283,0.91466,0.95657,0.72891,0.73952,0.50079,1.16792,0.00657963,0.00657963,0.00657963
26,9381.44,0.78069,0.895,1.11971,0.90229,0.96715,0.97894,0.75926,0.72,0.4824,1.13884,0.00633115,0.00633115,0.00633115
27,10260.9,0.78362,0.88899,1.12014,0.88427,0.96721,0.93099,0.73213,0.7172,0.47121,1.13012,0.00607916,0.00607916,0.00607916
28,11155.3,0.75887,0.86057,1.10851,0.92214,0.95219,0.94202,0.72092,0.72561,0.44654,1.13785,0.00582435,0.00582435,0.00582435
29,12076.3,0.75386,0.83158,1.10514,0.89495,0.96521,0.9614,0.74776,0.72822,0.46314,1.13809,0.00556742,0.00556742,0.00556742
30,12786.7,0.75857,0.85326,1.10859,0.9423,0.93003,0.97241,0.74171,0.71599,0.43416,1.12626,0.00530906,0.00530906,0.00530906
31,13464.1,0.73285,0.80975,1.09291,0.90396,0.9716,0.96549,0.76366,0.69752,0.43114,1.12123,0.00505,0.00505,0.00505
